user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,raw_timestamp,email,username,price,store_id
U1001,2025-06-13,West,Electronics,1485.69,Inactive,Houston,23,Free,2025-01-27 21:47:00,user1@example.com,user_1,19.75,STORE_2
U1002,2025-03-01,West,Toys,405.69,,Houston,43,Free,2025-03-13 00:48:00,user2@example.com,user_2,81.96,STORE_3
U1003,2025-01-27,West,Furniture,202.47,Pending,Denver,31,Premium,2025-07-06 14:34:00,user3@example.com,user_3,150.12,STORE_5
U1004,2025-04-03,East,Electronics,101.19,Inactive,Phoenix,20,Premium,2025-01-26 12:17:00,user4@example.com,user_4,180.86,STORE_3
U1005,2025-06-29,West,Toys,1273.61,Inactive,Chicago,44,Basic,2025-03-11 20:44:00,user5@example.com,user_5,389.12,STORE_2
U1006,2025-01-09,North,Furniture,542.8,Inactive,Denver,60,Basic,2025-02-24 20:31:00,user6@example.com,user_6,136.12,STORE_2
U1007,2025-07-10,North,Toys,862.58,,Dallas,29,Premium,2025-05-11 15:05:00,user7@example.com,user_7,84.19,STORE_4
U1008,2025-06-02,West,Furniture,769.42,,Boston,31,Free,2025-01-03 21:46:00,user8@example.com,user_8,385.46,STORE_3
U1009,2025-01-29,North,Furniture,324.73,Active,Atlanta,61,Basic,2025-05-09 05:32:00,user9@example.com,user_9,321.28,STORE_5
U1010,2025-02-20,East,Groceries,1527.4,Active,Denver,35,Basic,2025-01-05 03:59:00,user10@example.com,user_10,123.53,STORE_2
U1011,2025-05-26,West,Electronics,1466.5,Active,Boston,64,Premium,2025-02-02 21:30:00,user11@example.com,user_11,305.26,STORE_2
U1012,2025-05-19,East,Groceries,803.99,Pending,Seattle,48,Basic,2025-01-31 07:14:00,user12@example.com,,296.28,STORE_1
U1013,2025-01-19,West,Clothing,144.13,Active,Dallas,19,Free,2025-03-02 08:42:00,user13@example.com,user_13,441.78,STORE_5
U1014,2025-05-02,East,Furniture,1616.92,Inactive,Los Angeles,21,Free,2025-04-21 11:27:00,user14@example.com,user_14,,STORE_1
U1015,2025-01-16,South,Groceries,1603.18,Active,Houston,27,Premium,2025-05-18 14:08:00,user15@example.com,user_15,462.02,STORE_4
